2025-06-23 14:17:10.694 INFO: Epoch 304: loss=3.6420, MAE_E=16.63 meV, MAE_F=37.79 meV / A, lr_cur=0.01000
2025-06-23 14:17:22.995 INFO: Epoch 306: loss=3.6387, MAE_E=17.33 meV, MAE_F=37.77 meV / A, lr_cur=0.01000
2025-06-23 14:17:35.260 INFO: Epoch 308: loss=3.6335, MAE_E=16.47 meV, MAE_F=37.75 meV / A, lr_cur=0.01000
2025-06-23 14:17:47.477 INFO: Epoch 310: loss=3.6311, MAE_E=16.56 meV, MAE_F=37.73 meV / A, lr_cur=0.01000
2025-06-23 14:17:59.602 INFO: Epoch 312: loss=3.6295, MAE_E=16.57 meV, MAE_F=37.71 meV / A, lr_cur=0.01000
2025-06-23 14:18:11.755 INFO: Epoch 314: loss=3.6298, MAE_E=17.28 meV, MAE_F=37.70 meV / A, lr_cur=0.01000
2025-06-23 14:18:23.848 INFO: Epoch 316: loss=3.6297, MAE_E=15.90 meV, MAE_F=37.69 meV / A, lr_cur=0.01000
2025-06-23 14:18:36.016 INFO: Epoch 318: loss=3.6341, MAE_E=15.54 meV, MAE_F=37.70 meV / A, lr_cur=0.01000
2025-06-23 14:18:48.382 INFO: Epoch 320: loss=3.6368, MAE_E=17.47 meV, MAE_F=37.71 meV / A, lr_cur=0.01000
2025-06-23 14:19:00.771 INFO: Epoch 322: loss=3.6401, MAE_E=15.48 meV, MAE_F=37.71 meV / A, lr_cur=0.01000
2025-06-23 14:19:13.027 INFO: Epoch 324: loss=3.6366, MAE_E=17.01 meV, MAE_F=37.69 meV / A, lr_cur=0.01000
2025-06-23 14:19:25.329 INFO: Epoch 326: loss=3.6246, MAE_E=17.34 meV, MAE_F=37.63 meV / A, lr_cur=0.01000
2025-06-23 14:19:37.528 INFO: Epoch 328: loss=3.6361, MAE_E=17.17 meV, MAE_F=37.65 meV / A, lr_cur=0.01000
2025-06-23 14:19:49.872 INFO: Epoch 330: loss=3.6533, MAE_E=16.53 meV, MAE_F=37.70 meV / A, lr_cur=0.01000
2025-06-23 14:20:02.081 INFO: Epoch 332: loss=3.6599, MAE_E=15.69 meV, MAE_F=37.72 meV / A, lr_cur=0.01000
2025-06-23 14:20:14.200 INFO: Epoch 334: loss=3.6608, MAE_E=16.67 meV, MAE_F=37.72 meV / A, lr_cur=0.01000
2025-06-23 14:20:26.045 INFO: Epoch 336: loss=3.6652, MAE_E=16.15 meV, MAE_F=37.74 meV / A, lr_cur=0.01000
2025-06-23 14:20:37.399 INFO: Epoch 338: loss=3.6627, MAE_E=17.28 meV, MAE_F=37.72 meV / A, lr_cur=0.01000
2025-06-23 14:20:48.907 INFO: Epoch 340: loss=3.6627, MAE_E=17.31 meV, MAE_F=37.74 meV / A, lr_cur=0.01000
